prodi,jeniskelamin,propinsikabupaten,tahundaftar,jumlah
"Reguler - FIKes - Pendidikan Profesi Fisioterapi",Perempuan,"Prop. Jawa Timur ;Kab. Tuban ",2016,1
"Reguler - FEISHum - Administrasi Publik S1",Laki-laki,"Prop. Jawa Tengah ;Kota Pekalongan ",2016,1
"Reguler - FEISHum - Komunikasi S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Sumbawa ",2016,2
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Gorontalo ;Kota Gorontalo ",2016,14
"Reguler - FIKes - Kebidanan S2",Perempuan,"Prop. Kalimantan Tengah ;Kota Palangka Raya ",2016,2
"Reguler - FEISHum - Psikologi S1",Laki-laki,"Prop. Nusa Tenggara Timur ;Kab. Sumba Barat ",2016,2
"Reguler - FEISHum - Komunikasi S1",Perempuan,"Prop. Jawa Tengah ;Kab. Wonogiri ",2016,2
"Reguler - FEISHum - Psikologi S1",Perempuan,"Prop. Jawa Timur ;Kab. Ngawi ",2016,3
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Sulawesi Selatan ;Kab. Bantaeng ",2016,1
"Reguler - FIKes - Fisioterapi S1",Laki-laki,"Prop. Lampung ;Kab. Tulang Bawang Barat ",2016,18
"Aanvullen - FIKes - Fisioterapi S1",Laki-laki,"Prop. Sumatera Selatan ;Kab. Musi Banyu Asin ",2016,2
"Reguler - FEISHum - Administrasi Publik S1",Laki-laki,"Prop. Jawa Tengah ;Kab. Jepara ",2016,1
"Reguler - FEISHum - Komunikasi S1",Laki-laki,"Prop. D.I. Yogyakarta ;Kab. Kulon Progo ",2016,11
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Kalimantan Timur ;Kota Tarakan ",2016,2
"Reguler - FEISHum - Manajemen S1",Perempuan,"Prop. Nusa Tenggara Barat ;Kota Bima ",2016,6
"Reguler - FEISHum - Psikologi S1",Laki-laki,"Prop. Jawa Tengah ;Kab. Banjarnegara ",2016,3
"Reguler - FIKes - Pendidikan Profesi Ners",Perempuan,"Prop. Bangka Belitung ;Kab. Bangka Barat ",2016,1
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Perempuan,"Prop. Jawa Tengah ;Kab. Klaten ",2016,9
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Kalimantan Barat ;Kab. Sanggau ",2016,1
"Reguler - FEISHum - Akuntansi S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Dompu ",2016,8
"Reguler - FST - Bioteknologi S1",Laki-laki,"Prop. D.I. Yogyakarta ;Kota Yogyakarta ",2016,20
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Bali ;Kota Denpasar ",2016,1
"Reguler - FST - Arsitektur S1",Laki-laki,"Prop. Nusa Tenggara Timur ;Kab. Sumba Barat ",2016,1
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Riau ;Kab. Pelalawan ",2016,3
"Reguler - FEISHum - Manajemen S1",Perempuan,"Prop. Jawa Tengah ;Kab. Purworejo ",2016,8
"Reguler - FEISHum - Akuntansi S1",Perempuan,"Prop. Jawa Tengah ;Kab. Purbalingga ",2016,3
"Aanvullen - FIKes - Keperawatan S1",Laki-laki,"Prop. Sumatera Selatan ;Kab. Lahat ",2016,1
"Reguler - FIKes - Pendidikan Profesi Ners",Laki-laki,"Prop. Jawa Timur ;Kab. Lumajang ",2016,1
"Reguler - FEISHum - Psikologi S1",Laki-laki,"Prop. Jawa Barat ;Kab. Subang ",2016,8
"Reguler - FIKes - Pendidikan Profesi Ners",Perempuan,"Prop. Kalimantan Timur ;Kota Bontang ",2016,1
"Reguler - FIKes - Radiologi D3",Perempuan,"Prop. Maluku ;Kota Ambon ",2016,8
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Perempuan,"Prop. Sulawesi Tengah ;Kab. Poso ",2016,3
"Reguler - FEISHum - Psikologi S1",Perempuan,"Prop. Jawa Timur ;Kab. Pacitan ",2016,5
"Aanvullen - FIKes - Fisioterapi S1",Perempuan,"Prop. Sumatera Barat ;Kab. Solok ",2016,1
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Kalimantan Tengah ;Kab. Lamandau ",2016,2
"Reguler - FIKes - Fisioterapi S1",Laki-laki,"Prop. Banten ;Kab. Pandeglang ",2016,5
"Reguler - FST - Bioteknologi S1",Laki-laki,"Prop. Maluku Utara ;Kota Tidore Kepulauan ",2016,4
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Sumatera Selatan ;Kab. Banyuasin ",2016,3
"Reguler - FST - Arsitektur S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Lombok Timur ",2016,13
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Timur ;Kab. Kediri ",2016,1
"Reguler - FEISHum - Manajemen S1",Laki-laki,"Prop. Kalimantan Selatan ;Kab. Tapin ",2016,1
"Reguler - FIKes - Pendidikan Profesi Fisioterapi",Laki-laki,"Prop. D.I. Yogyakarta ;Kab. Sleman ",2016,407
"Reguler - FEISHum - Akuntansi S1",Perempuan,"Prop. Jambi ;Kota Jambi ",2016,1
"Reguler - FIKes - Pendidikan Profesi Ners",Laki-laki,"Prop. Sumatera Selatan ;Kab. Ogan Komering Ilir ",2016,1
"Reguler - FEISHum - Psikologi S1",Laki-laki,"Prop. D.I. Yogyakarta ;Kota Yogyakarta ",2016,45
"Reguler - FIKes - Pendidikan Profesi Ners",Perempuan,"Prop. D.I. Yogyakarta ;Kab. Bantul ",2016,10
"Reguler - FIKes - Radiologi D3",Perempuan,"Prop. Bangka Belitung ;Kab. Belitung Timur ",2016,2
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Laki-laki,"Prop. Sulawesi Utara ;Kab. Bolaang Mongondaw ",2016,14
"Reguler - FST - Bioteknologi S1",Perempuan,"Prop. Jawa Barat ;Kab. Garut ",2016,1
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Perempuan,"Prop. Kepulauan Riau ;Kab. Karimun ",2016,5
"Reguler - FEISHum - Komunikasi S1",Laki-laki,"Prop. Banten ;Kota Tangerang ",2016,1
"Reguler - FEISHum - Psikologi S1",Perempuan,"Prop. Maluku ;Kota Ambon ",2016,5
"Reguler - FIKes - Fisioterapi S1",Laki-laki,"Prop. Sulawesi Tengah ;Kab. Toli-Toli ",2016,3
"Reguler - FEISHum - Akuntansi S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Lombok Timur ",2016,10
"Reguler - FIKes - Radiologi D3",Laki-laki,"Prop. Kepulauan Riau ;Kab. Natuna ",2016,10
"Reguler - FEISHum - Manajemen S1",Laki-laki,"Prop. D.I. Yogyakarta ;Kab. Kulon Progo ",2016,9
"Reguler - FIKes - Pendidikan Profesi Fisioterapi",Laki-laki,"Prop. D.K.I. Jakarta ;Kota Jakarta Barat ",2016,36
"Aanvullen - FIKes - Keperawatan S1",Perempuan,"Prop. Bengkulu ;Kab. Bengkulu Utara ",2016,1
"Reguler - FEISHum - Psikologi S1",Perempuan,"Prop. Jawa Timur ;Kab. Tuban ",2016,1
"Reguler - FIKes - Radiologi D3",Laki-laki,"Prop. Jawa Timur ;Kab. Sumenep ",2016,2
"Reguler - FEISHum - Akuntansi S1",Perempuan,"Prop. D.I. Yogyakarta ;Kab. Kulon Progo ",2016,4
"Reguler - FEISHum - Administrasi Publik S1",Perempuan,"Prop. Jawa Tengah ;Kab. Banjarnegara ",2016,3
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Laki-laki,"Prop. Riau ;Kota Pekanbaru ",2016,28
"Reguler - FST - Bioteknologi S1",Perempuan,"Prop. Nusa Tenggara Timur ;Kab. Manggarai ",2016,2
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Banten ;Kab. Tangerang ",2016,2
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Perempuan,"Prop. Lampung ;Kab. Lampung Timur ",2016,5
"Reguler - FEISHum - Komunikasi S1",Laki-laki,"Prop. Jawa Tengah ;Kab. Purworejo ",2016,11
"Reguler - FEISHum - Psikologi S1",Perempuan,"Prop. Sulawesi Tengah ;Kab. Buol ",2016,6
"Reguler - FIKes - Fisioterapi S1",Laki-laki,"Prop. Bengkulu ;Kab. Kaur ",2016,1
"Reguler - FEISHum - Akuntansi S1",Laki-laki,"Prop. Jawa Tengah ;Kab. Temanggung ",2016,4
"Reguler - FEISHum - Manajemen S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Bima ",2016,11
"Aanvullen - FIKes - Keperawatan S1",Perempuan,"Prop. Jambi ;Kota Jambi ",2016,1
"Reguler - FIKes - Radiologi D3",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Lombok Timur ",2016,30
"Reguler - FEISHum - Akuntansi S1",Perempuan,"Prop. Bangka Belitung ;Kab. Bangka ",2016,2
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Barat ;Kab. Tasikmalaya ",2016,1
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Lombok Barat ",2016,3
"Reguler - FST - Bioteknologi S1",Perempuan,"Prop. Jawa Barat ;Kota Bekasi ",2016,1
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Bali ;Kab. Buleleng ",2016,3
"Reguler - FIKes - Fisioterapi S1",Laki-laki,"Prop. D.K.I. Jakarta ;Kota Jakarta Utara ",2016,1
"Reguler - FST - Arsitektur S1",Perempuan,"Prop. Jawa Tengah ;Kab. Klaten ",2016,3
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Perempuan,"Prop. Jawa Tengah ;Kab. Brebes ",2016,6
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Sulawesi Utara ;Kab. Bolaang Mongondaw ",2016,1
"Reguler - FEISHum - Psikologi S1",Perempuan,"Prop. Sumatera Selatan ;Kab. Ogan Komering Ulu ",2016,12
"Reguler - FEISHum - Administrasi Publik S1",Perempuan,"Prop. Sumatera Selatan ;Kab. Ogan Komering Ulu ",2016,3
"Reguler - FEISHum - Komunikasi S1",Laki-laki,"Prop. D.I. Yogyakarta ;Kota Yogyakarta ",2016,27
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Sulawesi Tengah ;Kab. Marowali ",2016,3
"Reguler - FST - Arsitektur S1",Perempuan,"Prop. Jawa Tengah ;Kab. Brebes ",2016,2
"Reguler - FIKes - Kebidanan S2",Perempuan,"Prop. Jawa Tengah ;Kab. Wonogiri ",2016,1
"Reguler - FEISHum - Komunikasi S1",Perempuan,"Prop. Lampung ;Kab. Way Kanan ",2016,2
"Reguler - FEISHum - Manajemen S1",Laki-laki,"Prop. D.I. Yogyakarta ;Kab. Sleman ",2016,35
"Reguler - FEISHum - Komunikasi S1",Laki-laki,"Prop. Jawa Tengah ;Kota Tegal ",2017,1
"Aanvullen - FIKes - Fisioterapi S1",Perempuan,"Prop. Jawa Tengah ;Kota Magelang ",2017,1
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Sumatera Utara ;Kota Medan ",2017,2
"Reguler - FEISHum - Akuntansi S1",Laki-laki,"Prop. Jawa Tengah ;Kota Surakarta ",2017,4
"Reguler - FIKes - Radiologi D3",Laki-laki,"Prop. Jawa Tengah ;Kab. Brebes ",2017,1
"Reguler - FST - Bioteknologi S1",Laki-laki,"Prop. Riau ;Kab. Rokan Hulu ",2017,2
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. D.K.I. Jakarta ;Kota Jakarta Pusat ",2017,4
"Reguler - FST - Arsitektur S1",Laki-laki,"Prop. Papua ;Kab. Biak Numfor ",2017,1
"Reguler - FEISHum - Manajemen S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kota Mataram ",2017,7
"Reguler - FEISHum - Psikologi S1",Perempuan,"Prop. Jawa Timur ;Kota Probolinggo ",2017,1
"Reguler - FEISHum - Akuntansi S1",Perempuan,"Prop. Jawa Tengah ;Kab. Klaten ",2017,7
"Aanvullen - FIKes - Keperawatan S1",Laki-laki,"Prop. Papua Barat ;Kab. Manokwari ",2017,2
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Perempuan,"Prop. Jawa Tengah ;Kab. Pati ",2017,1
"Reguler - FIKes - Radiologi D3",Perempuan,"Prop. Kepulauan Riau ;Kota Batam ",2017,3
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Laki-laki,"Prop. Jawa Barat ;Kab. Cirebon ",2017,4
"Reguler - FST - Bioteknologi S1",Perempuan,"Prop. Banten ;Kota tangerang Selatan ",2017,1
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Sulawesi Tenggara ;Kab. Konawe ",2017,11
"Reguler - FEISHum - Akuntansi S1",Laki-laki,"Prop. Kalimantan Timur ;Kab. Kutai Timur ",2017,3
"Reguler - FIKes - Radiologi D3",Laki-laki,"Prop. Riau ;Kab. Kampar ",2017,9
"Reguler - FST - Bioteknologi S1",Laki-laki,"Prop. Lampung ;Kota Metro ",2017,5
"Reguler - FST - Arsitektur S1",Laki-laki,"Prop. Kalimantan Utara;KABUPATEN BULUNGAN",2017,1
"Reguler - FEISHum - Manajemen S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Lombok Timur ",2017,14
"Reguler - FIKes - Pendidikan Profesi Fisioterapi",Laki-laki,"Prop. Sulawesi Selatan ;Kota Makassar ",2017,10
"Reguler - FEISHum - Psikologi S1",Perempuan,"Prop. Jawa Timur ;Kota Blitar ",2017,1
"Aanvullen - FIKes - Keperawatan S1",Laki-laki,"Prop. Kalimantan Barat ;Kota Pontianak ",2017,2
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Perempuan,"Prop. Sumatera Utara ;Kota Medan ",2017,2
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Laki-laki,"Prop. Papua ;Kab. Mimika ",2017,25
"Reguler - FST - Bioteknologi S1",Perempuan,"Prop. Sumatera Selatan ;Kab. Ogan Ilir ",2017,3
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Nusa Tenggara Timur ;Kab. Manggarai ",2017,1
"Reguler - FEISHum - Komunikasi S1",Laki-laki,"Prop. Sumatera Selatan ;Kab. Ogan Komering Ulu ",2017,4
"Aanvullen - FIKes - Fisioterapi S1",Perempuan,"Prop. Jawa Tengah ;Kab. Pekalongan ",2017,1
"Reguler - FIKes - Kebidanan S2",Perempuan,"Prop. Jawa Tengah ;Kab. Temanggung ",2017,1
"Reguler - FIKes - Radiologi D3",Laki-laki,"Prop. Jawa Tengah ;Kab. Wonogiri ",2017,8
"Reguler - FEISHum - Manajemen S1",Laki-laki,"Prop. Kalimantan Timur ;Kab. Berau ",2017,5
"Reguler - FIKes - Pendidikan Profesi Fisioterapi",Laki-laki,"Prop. Jawa Tengah ;Kota Semarang ",2017,2
"Reguler - FEISHum - Psikologi S1",Perempuan,"Prop. Sumatera Selatan ;Kab. Ogan Ilir ",2017,5
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Perempuan,"Prop. Maluku Utara ;Kab. halmahera Utara ",2017,4
"Reguler - FEISHum - Administrasi Publik S1",Perempuan,"Prop. Kalimantan Selatan ;Kab. Tanah Laut ",2017,1
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Nusa Tenggara Timur ;Kota Kupang ",2017,3
"Reguler - FEISHum - Administrasi Publik S1",Laki-laki,"Prop. Jawa Tengah ;Kab. Temanggung ",2017,4
"Reguler - FEISHum - Komunikasi S1",Laki-laki,"Prop. Jawa Barat ;Kab. Garut ",2017,1
"Reguler - FIKes - Radiologi D3",Laki-laki,"Prop. Kalimantan Timur ;Kab. Berau ",2017,6
"Reguler - FEISHum - Psikologi S1",Laki-laki,"Prop. D.I. Yogyakarta ;Kab. Gunung Kidul ",2017,11
"Aanvullen - FIKes - Keperawatan S1",Perempuan,"Prop. Jawa Tengah ;Kab. Kebumen ",2017,1
"Reguler - FEISHum - Psikologi S1",Perempuan,"Prop. Jawa Barat ;Kota Tasikmalaya ",2017,2
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Jawa Barat ;Kab. Garut ",2017,1
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Perempuan,"Prop. Kalimantan Utara;KOTA TARAKAN",2017,2
"Reguler - FEISHum - Administrasi Publik S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Dompu ",2017,3
"Reguler - FIKes - Gizi S1",Perempuan,"Prop. Jawa Tengah ;Kab. Grobogan ",2017,1
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Kepulauan Riau ;Kota Batam ",2017,6
"Reguler - FIKes - Kebidanan S2",Perempuan,"Prop. Nusa Tenggara Barat ;Kab. Lombok Barat ",2017,1
"Reguler - FEISHum - Manajemen S1",Perempuan,"Prop. Bangka Belitung ;Kab. Bangka ",2017,1
"Reguler - FEISHum - Psikologi S1",Laki-laki,"Prop. Sulawesi Selatan ;Kab. Enrekang ",2017,2
"Reguler - FIKes - Radiologi D3",Perempuan,"Prop. Jambi ;Kab. Bungo ",2017,2
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Bengkulu ;Kota Bengkulu ",2017,4
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Laki-laki,"Prop. Sulawesi Tengah ;Kab. Parigi Mautong ",2017,12
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Perempuan,"Prop. Banten ;Kab. Tangerang ",2017,7
"Reguler - FIKes - Fisioterapi S1",Laki-laki,"Prop. Jawa Barat ;Kab. Ciamis ",2017,8
"Reguler - FIKes - Radiologi D3",Laki-laki,"Prop. Sumatera Selatan ;Kab. Ogan Ilir ",2017,4
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Riau ;Kab. Rokan Hilir ",2017,2
"Reguler - FIKes - Gizi S1",Perempuan,"Prop. Kalimantan Barat ;Kota Pontianak ",2017,1
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Barat ;Kab. Purwakarta ",2017,1
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Kepulauan Riau ;Kab. Karimun ",2017,5
"Reguler - FST - Arsitektur S1",Perempuan,"Prop. Bengkulu ;Kab. Rejang Lebong ",2017,2
"Reguler - FEISHum - Manajemen S1",Perempuan,"Prop. Jawa Timur ;Kab. Magetan ",2017,2
"Reguler - FEISHum - Akuntansi S1",Perempuan,"Prop. Maluku Utara ;Kota Tidore Kepulauan ",2017,2
"Reguler - FEISHum - Komunikasi S1",Perempuan,"Prop. Jawa Barat ;Kota Bandung ",2017,1
"Reguler - FIKes - Radiologi D3",Perempuan,"Prop. Lampung ;Kab. Pringsewu ",2017,4
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Laki-laki,"Prop. Jawa Timur ;Kab. Ponorogo ",2017,8
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Perempuan,"Prop. Sumatera Utara ;Kab. Asahan ",2017,1
"Reguler - FIKes - Fisioterapi S1",Laki-laki,"Prop. Papua Barat ;Kab. Sorong ",2017,2
"Reguler - FST - Teknologi Informasi S1",Laki-laki,"Prop. Banten ;Kab. Serang ",2017,3
"Reguler - FIKes - Radiologi D3",Laki-laki,"Prop. Jawa Tengah ;Kab. Wonosobo ",2017,7
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Sulawesi Selatan ;Kota Palopo ",2017,3
"Reguler - FIKes - Gizi S1",Perempuan,"Prop. Jawa Timur ;Kab. Madiun ",2017,1
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Barat ;Kota Banjar ",2017,4
"Reguler - FEISHum - Manajemen S1",Perempuan,"Prop. Banten ;Kota Cilegon ",2017,1
"Reguler - FEISHum - Akuntansi S1",Perempuan,"Prop. Jawa Tengah ;Kab. Kebumen ",2017,5
"Reguler - FEISHum - Psikologi S1",Laki-laki,"Tidak Ada;Tidak Ada",2017,7
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Laki-laki,"Prop. Papua ;Kab. Biak Numfor ",2017,3
"Reguler - FST - Bioteknologi S1",Perempuan,"Prop. Bangka Belitung ;Kab. Belitung ",2017,1
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Lampung ;Kab. Way Kanan ",2017,4
"Reguler - FEISHum - Komunikasi S1",Laki-laki,"Prop. Sulawesi Selatan ;Kab. Enrekang ",2017,2
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Jawa Timur ;Kab. Madiun ",2017,3
"Reguler - FEISHum - Akuntansi S1",Laki-laki,"Prop. Jawa Tengah ;Kab. Sukoharjo ",2017,1
"Aanvullen - FIKes - Fisioterapi S1",Laki-laki,"Prop. Jawa Tengah ;Kab. Karanganyar ",2017,3
"Reguler - FIKes - Radiologi D3",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Bima ",2017,9
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Lampung ;Kab. Lampung Selatan ",2017,1
"Reguler - FST - Arsitektur S1",Laki-laki,"Prop. Sulawesi Barat ;Kab. Mamuju Utara ",2017,1
"Reguler - FEISHum - Manajemen S1",Laki-laki,"Prop. Lampung ;Kab. Tulang Bawang Barat ",2017,6
"Reguler - FEISHum - Psikologi S1",Perempuan,"Prop. Sumatera Barat ;Kota Solok ",2017,1
"Reguler - FEISHum - Manajemen S1",Perempuan,"Prop. Jawa Timur ;Kab. Trenggalek ",2017,1
"Reguler - FEISHum - Akuntansi S1",Perempuan,"Prop. Kepulauan Riau ;Kab. Kepulauan Anambas ",2017,1
"Aanvullen - FIKes - Keperawatan S1",Laki-laki,"Prop. Maluku ;Kota Ambon ",2017,3
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Perempuan,"Prop. Sulawesi Selatan ;Kota Palopo ",2017,2
"Reguler - FIKes - Pendidikan Profesi Ners",Perempuan,"Prop. Sumatera Selatan ;Kab. Banyuasin ",2017,1
"Reguler - FIKes - Radiologi D3",Perempuan,"Prop. Bangka Belitung ;Kab. Bangka Tengah ",2017,5
"Reguler - FEISHum - Akuntansi S1",Laki-laki,"Prop. Papua ;Kab. Biak Numfor ",2017,1
"Reguler - FIKes - Radiologi D3",Laki-laki,"Prop. Jawa Tengah ;Kab. Sukoharjo ",2017,4
"Reguler - FST - Bioteknologi S1",Laki-laki,"Prop. Kalimantan Selatan ;Kab. Tabalong ",2017,2
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Lampung ;Kab. Pringsewu ",2017,5
"Reguler - FST - Arsitektur S1",Laki-laki,"Prop. Bengkulu ;Kab. Kaur ",2017,1
"Reguler - FEISHum - Manajemen S1",Laki-laki,"Prop. Sumatera Selatan ;Kota Lubuk Linggau ",2017,6
"Reguler - FEISHum - Psikologi S1",Perempuan,"Prop. Kalimantan Tengah ;Kab. Kotawaringin Timur ",2017,1
"Reguler - FEISHum - Akuntansi S1",Perempuan,"Prop. Lampung ;Kab. Tenggamus ",2017,2
"Aanvullen - FIKes - Keperawatan S1",Laki-laki,"Prop. Jawa Tengah ;Kab. Banyumas ",2017,6
"Reguler - FIKes - Pendidikan Profesi Ners",Laki-laki,"Prop. Jawa Tengah ;Kab. Wonosobo ",2017,4
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Perempuan,"Prop. Jambi ;Kab. Batang Hari ",2017,2
"Reguler - FIKes - Radiologi D3",Perempuan,"Prop. Kalimantan Timur ;Kota Bontang ",2017,1
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Laki-laki,"Prop. Sumatera Selatan ;Kota Palembang ",2017,8
"Reguler - FST - Bioteknologi S1",Perempuan,"Prop. Riau ;Kab. Indragiri Hilir ",2017,4
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Sulawesi Barat ;Kab. Mamuju Utara ",2017,1
"Reguler - FEISHum - Komunikasi S1",Laki-laki,"Prop. Jawa Tengah ;Kab. Wonosobo ",2017,11
"Aanvullen - FIKes - Fisioterapi S1",Perempuan,"Prop. Sumatera Barat ;Kota Padang ",2017,4
"Reguler - FIKes - Kebidanan S2",Perempuan,"Prop. Sumatera Selatan ;Kab. Muara Enim ",2017,1
"Reguler - FIKes - Radiologi D3",Laki-laki,"Prop. Jawa Barat ;Kab. Bekasi ",2017,4
"Reguler - FEISHum - Manajemen S1",Laki-laki,"Prop. Maluku Utara ;Kota Tidore Kepulauan ",2017,3
"Reguler - FIKes - Pendidikan Profesi Fisioterapi",Laki-laki,"Prop. Lampung ;Kab. Lampung Utara ",2017,2
"Reguler - FEISHum - Psikologi S1",Perempuan,"Prop. Papua ;Kab. Mimika ",2017,2
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Perempuan,"Prop. Jawa Timur ;Kab. Jember ",2017,5
"Reguler - FEISHum - Administrasi Publik S1",Perempuan,"Prop. Maluku ;Kab. Seram Bagian Timur ",2017,2
"Reguler - FST - Bioteknologi S1",Perempuan,"Prop. Nusa Tenggara Barat ;Kab. Bima ",2017,1
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Nusa Tenggara Barat ;Kab. Sumbawa Barat ",2017,2
"Reguler - FEISHum - Administrasi Publik S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Lombok Tengah ",2017,3
"Reguler - FEISHum - Komunikasi S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Lombok Barat ",2017,1
"Reguler - FIKes - Kebidanan S2",Perempuan,"Prop. Sulawesi Tengah ;Kab. Poso ",2017,1
"Reguler - FIKes - Radiologi D3",Laki-laki,"Prop. Sulawesi Tenggara ;Kab. Buton ",2017,7
"Aanvullen - FIKes - Keperawatan S1",Perempuan,"Prop. Jambi ;Kab. Bungo ",2017,1
"Reguler - FEISHum - Psikologi S1",Perempuan,"Prop. D.K.I. Jakarta ;Kota Jakarta Selatan ",2017,1
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Jawa Barat ;Kab. Bekasi ",2017,6
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Perempuan,"Prop. Nusa Tenggara Barat ;Kab. Lombok Tengah ",2017,7
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Bali ;Kab. Badung ",2017,1
"Reguler - FEISHum - Administrasi Publik S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Lombok Timur ",2017,9
"Reguler - FIKes - Gizi S1",Perempuan,"Prop. Jawa Tengah ;Kab. Temanggung ",2017,4
"Reguler - FEISHum - Psikologi S1",Laki-laki,"Prop. Bengkulu ;Kab. Bengkulu Tengah ",2017,2
"Reguler - FST - Bioteknologi S1",Perempuan,"Prop. Lampung ;Kab. Lampung Selatan ",2017,1
"Reguler - FIKes - Radiologi D3",Perempuan,"Prop. Jawa Barat ;Kab. Indramayu ",2017,3
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Maluku Utara ;Kab. halmahera Utara ",2017,2
"Reguler - FIKes - Teknologi Laboratorium Medis D4",Perempuan,"Prop. Kepulauan Riau ;Kab. Bintan ",2017,1
"Reguler - FIKes - Pendidikan Profesi Fisioterapi",Perempuan,"Prop. Sumatera Selatan ;Kab. Ogan Komering Ulu ",2017,1
"Reguler - FEISHum - Administrasi Publik S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kota Bima ",2017,7
"Reguler - FST - Arsitektur S1",Laki-laki,"Prop. Jawa Barat ;Kota Bogor ",2017,1
"Reguler - FIKes - Radiologi D3",Laki-laki,"Prop. D.I. Yogyakarta ;Kota Yogyakarta ",2017,18
"Reguler - FEISHum - Manajemen S1",Laki-laki,"Prop. D.I. Yogyakarta ;Kab. Gunung Kidul ",2017,10
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Sumatera Utara ;Kota Padang Sidempuan ",2017,3
